,machine_age_yrs,temp_c,humidity_pct,process_speed_units_hr,defect_severity_0to3,decision_rework,rework_time_min,final_pass,scrap,total_cycle_time_min,energy_kwh,cost_usd,warranty_claim_90d
machine_age_yrs,1.0,0.0011630174631662208,-0.004187341013512296,0.011728831985440355,0.07803973745308145,0.0520252495580638,0.07094769308837143,-0.07209878671049633,0.04955939172331647,0.06818122386101196,0.059841928623476086,0.07156962732856922,0.005229754698172536
temp_c,0.0011630174631662208,1.0,0.11078140367330526,0.011332270550869128,0.012786935265950114,0.013528039215012416,0.01366060098492533,-0.0077832394358943475,-0.004615272211235331,0.01403050465608542,0.008710096534404108,0.006982586174917616,0.014912019590426215
humidity_pct,-0.004187341013512296,0.11078140367330526,1.0,0.020723816699195444,0.03173876230630967,0.02917234014119044,0.030492552516859377,0.009760084061797417,0.005283640190303914,0.023109064641448022,0.027959412582363997,0.015340024151922803,-0.010816064294227228
process_speed_units_hr,0.011728831985440355,0.011332270550869128,0.020723816699195444,1.0,0.08266409338247421,0.03104450786570952,0.06341801324876105,-0.03371732454532613,0.0352418230110715,0.2310700028394976,0.4288985668911524,0.14956152654376706,-0.024284220409610806
defect_severity_0to3,0.07803973745308145,0.012786935265950114,0.03173876230630967,0.08266409338247421,1.0,0.5436970345844396,0.8387058357854961,-0.29406632954877276,0.46760492804689063,0.7783011972137068,0.6805992236081772,0.7317812852833356,0.07675261957680399
decision_rework,0.0520252495580638,0.013528039215012416,0.02917234014119044,0.03104450786570952,0.5436970345844396,1.0,0.7797658957013432,-0.07032344440464136,0.1957489276103431,0.7157634583835382,0.6138343825853507,0.5053374446352907,-0.01347584844017839
rework_time_min,0.07094769308837143,0.01366060098492533,0.030492552516859377,0.06341801324876105,0.8387058357854961,0.7797658957013432,1.0,-0.18587197469687203,0.3429442130701825,0.9179110817509423,0.79198179332144,0.7178074086964918,0.012094729289320023
final_pass,-0.07209878671049633,-0.0077832394358943475,0.009760084061797417,-0.03371732454532613,-0.29406632954877276,-0.07032344440464136,-0.18587197469687203,1.0,-0.4240530401080291,-0.1744457866368547,-0.15376966179831322,-0.37946862900242523,-0.11340777674920663
scrap,0.04955939172331647,-0.004615272211235331,0.005283640190303914,0.0352418230110715,0.46760492804689063,0.1957489276103431,0.3429442130701825,-0.4240530401080291,1.0,0.32161290388030556,0.2808115469937564,0.8505485997925752,0.10938696148262747
total_cycle_time_min,0.06818122386101196,0.01403050465608542,0.023109064641448022,0.2310700028394976,0.7783011972137068,0.7157634583835382,0.9179110817509423,-0.1744457866368547,0.32161290388030556,1.0,0.8989636697474632,0.7414326204583268,0.011778175332155274
energy_kwh,0.059841928623476086,0.008710096534404108,0.027959412582363997,0.4288985668911524,0.6805992236081772,0.6138343825853507,0.79198179332144,-0.15376966179831322,0.2808115469937564,0.8989636697474632,1.0,0.6625577768064046,0.0033747030348575137
cost_usd,0.07156962732856922,0.006982586174917616,0.015340024151922803,0.14956152654376706,0.7317812852833356,0.5053374446352907,0.7178074086964918,-0.37946862900242523,0.8505485997925752,0.7414326204583268,0.6625577768064046,1.0,0.07792557023208845
warranty_claim_90d,0.005229754698172536,0.014912019590426215,-0.010816064294227228,-0.024284220409610806,0.07675261957680399,-0.01347584844017839,0.012094729289320023,-0.11340777674920663,0.10938696148262747,0.011778175332155274,0.0033747030348575137,0.07792557023208845,1.0
